DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
17001	Seattle Public Schools	4263	Residential Consortium	0
17412	Shoreline School District	3489	Parkwood Elementary	0
20405	White Salmon Valley School District	3394	Wayne M Henkle Middle School	0
07002	Dayton School District	2302	Dayton High School	0
17401	Highline Public Schools	3333	Pacific Middle School	1
17417	Northshore School District	3679	Shelton View Elementary	0
27010	Tacoma School District	2377	Gray	0
15201	Oak Harbor School District	2794	Clover Valley Elementary	0
17412	Shoreline School District	3103	North City Elementary	0
31025	Marysville School District	1691	Tulalip Learning Center	0
21234	Boistfort School District	2516	Boistfort Elem	0
33036	Chewelah School District	1709	Chewelah Alternative	0
15204	Coupeville School District	5412	Open Den	0
27010	Tacoma School District	2335	Madison Headstart	0
32361	East Valley School District (Spokane)	1821	GED Program	0
32081	Spokane School District	1616	Alt Morning Star Boys Ranch	0
04129	Lake Chelan School District	5038	Chelan Prepatory High School	0
19404	Cle Elum-Roslyn School District	1987	Swiftwater Learning Center	0
08458	Kelso School District	2913	Carrolls Elementary	0
15206	South Whidbey School District	4149	South Whidbey High School	0
36140	Walla Walla School District	3468	Walla Walla High School	0
26056	Newport School District	5117	Newport Alternative High School	0
17408	Auburn School District	3825	Alpac Elementary School	1
37505	Meridian School District	1743	Meridian Special Programs	0
14064	North Beach School District	3787	Ocean Shores Elementary	0
17001	Seattle Public Schools	3478	Kimball Elementary School	1
17401	Highline Public Schools	1997	ERAC Special Education	1
37507	Mount Baker School District	2781	Deming Elementary School	0
18100	Bremerton School District	3109	Bremerton High School	0
39090	East Valley School District (Yakima)	4487	East Valley Intermediate	0
03400	Richland School District	5165	Three Rivers Home Link	0
17410	Snoqualmie Valley School District	5135	Twin Falls Middle School	0
27400	Clover Park School District	2104	Lake City Elementary School	0
31002	Everett School District	1729	Goal Program	0
18303	Bainbridge Island School District	1734	Strawberry Hill Alt School	0
31016	Arlington School District	4287	Weston High School	0
17411	Issaquah School District	5200	Pacific Cascade Middle School	0
33212	Kettle Falls School District	4206	Kettle Falls High School	0
17417	Northshore School District	3493	Canyon Park Middle School	0
03400	Richland School District	2657	Lewis & Clark Elementary School	0
27416	White River School District	4170	Wilkeson Elementary School	0
31006	Mukilteo School District	1745	Summit Program	0
09075	Bridgeport School District	1900	Bridgeport Aurora High School	0
06114	Evergreen School District (Clark)	4299	Burnt Bridge Creek Elementary Sch	0
31004	Lake Stevens School District	4139	North Lake Middle School	0
